state,county,fips,votes gop,votes dem,total votes,% GOP,% DEM,% Votes,,POP tot
Alabama,Geneva,01061,10848,1595,12545,86.47%,12.71%,99.19%,RIGHT,26271
Alabama,Greene,01063,875,3884,4775,18.32%,81.34%,99.66%,LEFT,8111
Alabama,Hale,01065,3192,4663,7900,40.41%,59.03%,99.43%,LEFT,14651
Alabama,Henry,01067,6607,2606,9298,71.06%,28.03%,99.09%,RIGHT,17205
Alabama,Houston,01069,32618,12917,46173,70.64%,27.98%,98.62%,RIGHT,105882
Alabama,Jackson,01071,19670,3717,23636,83.22%,15.73%,98.95%,RIGHT,51626
Alabama,Jefferson,01073,138843,181688,325848,42.61%,55.76%,98.37%,LEFT,658573
Alabama,Lamar,01075,6174,978,7193,85.83%,13.60%,99.43%,RIGHT,13805
Alabama,Lauderdale,01077,31721,11915,44339,71.54%,26.87%,98.41%,RIGHT,92729
Alabama,Lawrence,01079,12322,3562,16031,76.86%,22.22%,99.08%,RIGHT,32924
Alabama,Lee,01081,42221,27860,71449,59.09%,38.99%,98.09%,RIGHT,164542
Alabama,Limestone,01083,34640,13672,49235,70.36%,27.77%,98.13%,RIGHT,98915
Alabama,Lowndes,01085,1836,4972,6835,26.86%,72.74%,99.60%,LEFT,9726
Alabama,Macon,01087,1541,7108,8723,17.67%,81.49%,99.15%,LEFT,18068
Alabama,Madison,01089,102780,87286,194767,52.77%,44.82%,97.59%,RIGHT,372909
Alabama,Marengo,01091,5343,5488,10900,49.02%,50.35%,99.37%,LEFT,18863
Alabama,Marion,01093,12205,1463,13807,88.40%,10.60%,98.99%,RIGHT,29709
Alabama,Marshall,01095,33191,5943,39655,83.70%,14.99%,98.69%,RIGHT,96774
Alabama,Mobile,01097,101243,79474,183164,55.27%,43.39%,98.66%,RIGHT,413210
Alabama,Monroe,01099,6147,4455,10668,57.62%,41.76%,99.38%,RIGHT,20733
Alabama,Montgomery,01101,33311,64529,99139,33.60%,65.09%,98.69%,LEFT,226486
Alabama,Morgan,01103,39664,13234,53722,73.83%,24.63%,98.47%,RIGHT,119679
