state,county,fips,POP tot,0-19 tot,20-64tot,65+ tot,voting age
South Dakota,Hughes,46065,17526,4580,9788,3158,12946
South Dakota,Hutchinson,46067,7291,1991,3630,1670,5300
South Dakota,Hyde,46069,1301,302,673,326,999
South Dakota,Jackson,46071,3344,1245,1648,451,2099
South Dakota,Jerauld,46073,2013,503,962,548,1510
South Dakota,Jones,46075,903,213,475,215,690
South Dakota,Kingsbury,46077,4939,1241,2538,1160,3698
South Dakota,Lake,46079,12797,3073,6695,3029,9724
South Dakota,Lawrence,46081,25844,5466,14461,5917,20378
South Dakota,Lincoln,46083,61128,18080,34863,8185,43048
South Dakota,Lyman,46085,3781,1200,1969,612,2581
South Dakota,McCook,46087,5586,1664,2865,1057,3922
South Dakota,McPherson,46089,2379,636,1069,674,1743
South Dakota,Marshall,46091,4935,1284,2604,1047,3651
South Dakota,Meade,46093,28332,6975,16827,4530,21357
South Dakota,Mellette,46095,2061,698,1058,305,1363
South Dakota,Miner,46097,2216,592,1159,465,1624
South Dakota,Minnehaha,46099,193134,53292,113801,26041,139842
South Dakota,Moody,46101,6576,1891,3424,1261,4685
South Dakota,Oglala Lakota,46102,14177,5678,7446,1053,8499
South Dakota,Pennington,46103,113775,28494,64197,21084,85281
South Dakota,Perkins,46105,2865,645,1460,760,2220
South Dakota,Potter,46107,2153,494,1031,628,1659
South Dakota,Roberts,46109,10394,3264,5078,2052,7130
South Dakota,Sanborn,46111,2344,630,1240,474,1714
South Dakota,Spink,46115,6376,1585,3440,1351,4791
South Dakota,Stanley,46117,3098,843,1624,631,2255
South Dakota,Sully,46119,1391,315,713,363,1076
South Dakota,Todd,46121,10177,4568,4846,763,5609
South Dakota,Tripp,46123,5441,1389,2814,1238,4052
South Dakota,Turner,46125,8384,2218,4374,1792,6166
South Dakota,Union,46127,15932,4221,8749,2962,11711
South Dakota,Walworth,46129,5435,1392,2722,1321,4043
South Dakota,Yankton,46135,22814,5316,13054,4444,17498
South Dakota,Ziebach,46137,2756,874,1618,264,1882
Tennessee,Anderson,47001,76978,17789,43590,15599,59189
Tennessee,Bedford,47003,49713,13726,28438,7549,35987
Tennessee,Benton,47005,16160,3504,8794,3862,12656
Tennessee,Bledsoe,47007,15064,2451,9774,2839,12613
Tennessee,Blount,47009,133088,29465,76251,27372,103623
Tennessee,Bradley,47011,108110,26638,62748,18724,81472
Tennessee,Campbell,47013,39842,8902,22578,8362,30940
Tennessee,Cannon,47015,14678,3411,8545,2722,11267
Tennessee,Carroll,47017,27767,6846,15188,5733,20921
Tennessee,Carter,47019,56391,11202,32574,12615,45189
Tennessee,Cheatham,47021,40667,9725,24624,6318,30942
Tennessee,Chester,47023,17297,4526,9786,2985,12771
Tennessee,Claiborne,47025,31959,6909,18573,6477,25050
Tennessee,Clay,47027,7615,1661,4031,1923,5954
Tennessee,Cocke,47029,36004,7924,20306,7774,28080
